max,mean,min,cross_improvec,cross_worsenc,unique
1,56162541.511,570648.960,16.699,43.267,44.733,22.800
2,706300344.229,7063154.558,16.365,36.500,53.133,26.033
3,52184454.776,521878.948,17.149,32.033,56.500,29.300
4,299152.462,3074.978,16.665,30.433,58.000,30.733
5,1242163.634,12494.947,16.567,31.300,58.333,30.067
6,35109353.290,351140.774,15.962,30.600,59.200,29.500
7,14602.480,174.391,15.267,31.133,58.833,29.867
8,28927.898,314.717,13.979,30.833,57.533,30.500
9,1070194.141,10732.646,13.842,31.533,56.467,30.133
10,22039667.100,220454.929,13.442,29.833,58.467,31.900
11,595848.179,5992.387,12.832,29.767,59.567,31.033
12,1965857.021,19680.651,12.662,30.267,58.033,30.600
13,62924.161,654.967,12.814,29.267,59.433,31.300
14,339115495.834,3391206.167,12.263,31.000,56.967,31.400
15,2801.485,48.766,11.769,29.067,58.233,31.600
16,3735997.462,37379.526,11.272,29.767,58.033,32.567
17,5598.438,76.091,10.967,29.133,58.200,31.667
18,2535039.884,25369.486,10.684,28.733,59.167,30.667
19,7427252.702,74299.083,10.270,28.567,58.900,30.300
20,35007.289,368.238,10.059,28.867,59.000,30.567
21,32090986.533,320936.506,9.343,27.333,59.733,31.367
22,35771923.759,360033.028,9.314,29.300,57.967,31.067
23,2819052.846,28211.045,9.143,28.833,58.967,30.767
24,14027.704,165.225,8.879,29.733,56.800,32.567
25,70943735.136,709459.470,8.849,27.933,58.733,31.667
26,1093.318,28.559,8.627,27.800,59.600,31.967
27,14509.691,164.334,8.449,27.300,59.067,31.933
28,701436.481,7031.335,8.319,27.167,60.000,30.800
29,63604582.230,636063.005,8.293,27.667,59.933,31.167
30,13102.102,148.413,8.233,28.300,57.367,31.767
31,436464.584,4382.292,7.866,26.100,59.833,32.133
32,7728.065,96.271,7.728,26.967,58.767,32.000
33,1177660.306,11793.187,7.704,26.667,58.333,34.967
34,7131.770,89.422,7.674,24.967,60.767,32.867
35,55100.442,587.356,7.382,25.833,59.600,31.867
36,56662.530,611.272,7.441,26.267,59.133,33.733
37,13646.170,161.368,7.384,26.633,58.800,34.133
38,541084.778,5426.924,7.239,25.767,58.867,33.900
39,25028063.063,250296.150,6.969,25.700,59.267,33.800
40,3282965.223,32878.881,6.963,24.800,59.433,35.700
41,54445.831,941.592,6.912,24.833,60.033,37.033
42,66624170.408,666257.525,6.983,24.833,60.900,35.033
43,12071.203,196.513,6.981,24.567,59.900,35.833
44,1334633.998,13372.208,6.782,25.733,58.533,35.967
45,11249.720,142.246,6.760,24.833,59.967,35.267
46,6538.324,81.020,6.614,23.133,60.400,35.967
47,1060950.959,10624.489,6.612,24.267,59.433,36.967
48,412135.857,4141.945,6.684,24.200,59.700,38.167
49,2015856246.450,20158579.107,6.622,23.100,61.467,36.267
50,14785632.407,147878.552,6.622,23.433,59.767,38.033
